date,regime,regime_label,portfolio_USMV_overlay,portfolio_cash_baseline,SPY,USMV,cumret_USMV_overlay_pct,cumret_cash_baseline_pct,cumret_SPY_pct,cumret_USMV_etf_pct,portfolio_USMV_USD,portfolio_cash_USD,cash_USD,positions_value_USD,n_positions
2023-03-17,0,bull,121.9356,121.9356,102.7988,96.9516,21.9356,21.9356,2.7988,-3.0484,1219.3557,1219.3557,442.6587,776.697,13
2023-03-20,0,bull,122.0431,122.0431,103.7873,98.074,22.0431,22.0431,3.7873,-1.926,1220.4314,1220.4314,488.9701,731.4613,13
2023-03-21,0,bull,127.5325,127.5325,105.15,98.2126,27.5325,27.5325,5.15,-1.7874,1275.3253,1275.3253,412.4739,862.8514,14
2023-03-22,0,bull,124.7822,124.7822,103.3576,96.8685,24.7822,24.7822,3.3576,-3.1315,1247.8223,1247.8223,459.7099,788.1124,14
2023-03-23,0,bull,122.8868,122.8868,103.637,96.9938,22.8868,22.8868,3.637,-3.0062,1228.8679,1228.8679,569.3473,659.5205,12
2023-03-24,0,bull,122.9941,122.9941,104.3171,98.3579,22.9941,22.9941,4.3171,-1.6421,1229.9413,1229.9413,422.0641,807.8773,14
2023-03-27,0,bull,123.1943,123.1943,104.5121,98.6503,23.1943,23.1943,4.5121,-1.3497,1231.9432,1231.9432,530.874,701.0692,14
2023-03-28,0,bull,122.7648,122.7648,104.2775,98.7338,22.7648,22.7648,4.2775,-1.2662,1227.6481,1227.6481,482.9809,744.6672,15
2023-03-29,0,bull,125.586,125.586,105.7932,99.6803,25.586,25.586,5.7932,-0.3197,1255.8595,1255.8595,482.9809,772.8786,15
2023-03-30,0,bull,125.5535,125.5535,106.4126,100.1397,25.5535,25.5535,6.4126,0.1397,1255.5349,1255.5349,575.2316,680.3033,14
2023-03-31,0,bull,127.397,127.397,107.9125,101.2533,27.397,27.397,7.9125,1.2533,1273.9696,1273.9696,498.9458,775.0237,15
2023-04-03,0,bull,126.2998,126.2998,108.3237,101.657,26.2998,26.2998,8.3237,1.657,1262.9981,1262.9981,664.7141,598.284,12
2023-04-04,0,bull,125.0885,125.0885,107.7227,101.3925,25.0885,25.0885,7.7227,1.3925,1250.8846,1250.8846,613.1374,637.7473,13
2023-04-05,0,bull,123.1019,123.1019,107.4407,102.005,23.1019,23.1019,7.4407,2.005,1231.019,1231.019,667.7501,563.2689,11
2023-04-06,0,bull,123.8588,123.8588,107.8598,102.3529,23.8588,23.8588,7.8598,2.3529,1238.5883,1238.5883,673.3546,565.2337,10
2023-04-10,0,bull,125.8286,125.8286,107.9705,102.2555,25.8286,25.8286,7.9705,2.2555,1258.286,1258.286,638.2112,620.0748,10
2023-04-11,0,bull,126.939,126.939,107.9995,102.5061,26.939,26.939,7.9995,2.5061,1269.3895,1269.3895,638.2112,631.1783,10
2023-04-12,0,bull,125.7551,125.7551,107.5593,102.5478,25.7551,25.7551,7.5593,2.5478,1257.5509,1257.5509,706.7851,550.7658,10
2023-04-13,0,bull,126.6244,126.6244,108.988,103.1881,26.6244,26.6244,8.988,3.1881,1266.2444,1266.2444,676.526,589.7184,9
2023-04-14,0,bull,126.0329,126.0329,108.7217,102.52,26.0329,26.0329,8.7217,2.52,1260.329,1260.329,559.8185,700.5104,11
2023-04-17,0,bull,127.0663,127.0663,109.1119,102.9933,27.0663,27.0663,9.1119,2.9933,1270.6628,1270.6628,664.0819,606.5809,10
2023-04-18,0,bull,127.2455,127.2455,109.183,102.7984,27.2455,27.2455,9.183,2.7984,1272.4551,1272.4551,664.0819,608.3732,10
2023-04-19,0,bull,126.5272,126.5272,109.1646,102.5478,26.5272,26.5272,9.1646,2.5478,1265.2725,1265.2725,680.5988,584.6737,10
2023-04-20,0,bull,124.4788,124.4788,108.5689,102.4365,24.4788,24.4788,8.5689,2.4365,1244.7878,1244.7878,898.6032,346.1846,8
2023-04-21,0,bull,124.2182,124.2182,108.6532,102.7149,24.2182,24.2182,8.6532,2.7149,1242.1821,1242.1821,774.5476,467.6345,10
2023-04-24,0,bull,123.4252,123.4252,108.7666,102.8958,23.4252,23.4252,8.7666,2.8958,1234.2523,1234.2523,844.6086,389.6438,9
2023-04-25,0,bull,121.3662,121.3662,107.04,102.0746,21.3662,21.3662,7.04,2.0746,1213.6616,1213.6616,837.7068,375.9548,9
2023-04-26,0,bull,121.5238,121.5238,106.5866,100.8078,21.5238,21.5238,6.5866,0.8078,1215.2376,1215.2376,881.5915,333.6462,7
2023-04-27,0,bull,122.155,122.155,108.7086,102.1441,22.155,22.155,8.7086,2.1441,1221.5504,1221.5504,864.2049,357.3455,8
2023-04-28,0,bull,122.148,122.148,109.6364,102.7566,22.148,22.148,9.6364,2.7566,1221.4799,1221.4799,924.2082,297.2718,7
2023-05-01,0,bull,121.5285,121.5285,109.5257,103.0768,21.5285,21.5285,9.5257,3.0768,1215.2845,1215.2845,918.9913,296.2932,6
2023-05-02,0,bull,121.2743,121.2743,108.2947,102.1999,21.2743,21.2743,8.2947,2.1999,1212.7427,1212.7427,715.055,497.6878,9
2023-05-03,0,bull,122.8636,122.8636,107.5514,101.824,22.8636,22.8636,7.5514,1.824,1228.6355,1228.6355,739.9941,488.6414,8
2023-05-04,0,bull,122.2904,122.2904,106.7896,101.2672,22.2904,22.2904,6.7896,1.2672,1222.9038,1222.9038,719.9616,502.9422,7
2023-05-05,0,bull,126.5521,126.5521,108.7666,102.4365,26.5521,26.5521,8.7666,2.4365,1265.5211,1265.5211,517.1953,748.3258,10
2023-05-08,0,bull,129.11,129.11,108.7956,102.2277,29.11,29.11,8.7956,2.2277,1291.0997,1291.0997,336.1104,954.9893,13
2023-05-09,0,bull,129.2528,129.2528,108.3184,101.9771,29.2528,29.2528,8.3184,1.9771,1292.5279,1292.5279,336.1104,956.4175,13
2023-05-10,0,bull,129.9482,129.9482,108.8245,102.4365,29.9482,29.9482,8.8245,2.4365,1299.4825,1299.4825,359.8056,939.6769,13
2023-05-11,0,bull,129.2797,129.2797,108.6347,102.1581,29.2797,29.2797,8.6347,2.1581,1292.7973,1292.7973,330.6702,962.1271,14
2023-05-12,0,bull,126.5328,126.5328,108.4924,102.2555,26.5328,26.5328,8.4924,2.2555,1265.3278,1265.3278,362.8832,902.4445,14
2023-05-15,0,bull,130.124,130.124,108.8667,102.2138,30.124,30.124,8.8667,2.2138,1301.2399,1301.2399,344.7191,956.5208,15
2023-05-16,0,bull,128.4159,128.4159,108.1392,101.0862,28.4159,28.4159,8.1392,1.0862,1284.1592,1284.1592,379.4216,904.7376,15
2023-05-17,0,bull,133.2291,133.2291,109.4519,101.4482,33.2291,33.2291,9.4519,1.4482,1332.2914,1332.2914,487.0914,845.2,14
2023-05-18,0,bull,134.7663,134.7663,110.5063,101.657,34.7663,34.7663,10.5063,1.657,1347.6632,1347.6632,503.3045,844.3588,14
2023-05-19,0,bull,132.7193,132.7193,110.3455,101.7962,32.7193,32.7193,10.3455,1.7962,1327.193,1327.193,467.596,859.5971,15
